point_id,beta1,beta_out,beta_threshold,margin_from_threshold,confidence_score,logic_output,logic_output_bit
0,0.5,0.152559938757391,0.1525599374012408,1.356150192144412e-09,0.11588101210633064,1,1
1,0.5714285714285714,0.15255993539229123,0.1525599374012408,2.008949562259943e-09,0.17166174505873763,0,0
2,0.6428571428571428,0.1525599333593151,0.1525599374012408,4.041925710795979e-09,0.345376526094804,0,0
3,0.7142857142857143,0.15255993221432723,0.1525599374012408,5.186913565324858e-09,0.4432140312626192,0,0
4,0.7857142857142857,0.15255993167404122,0.1525599374012408,5.727199575700226e-09,0.4893806653654311,0,0
5,0.8571428571428571,0.15255993154976363,0.1525599374012408,5.851477163920649e-09,0.5,0,0
6,0.9285714285714286,0.1525599317116282,0.1525599374012408,5.6896125866234826e-09,0.48616891318527233,0,0
7,1.0,0.1525599320680634,0.1525599374012408,5.3331773997022935e-09,0.4557120578531763,0,0
8,1.0714285714285714,0.152559932553382,0.1525599374012408,4.847858808831873e-09,0.4142423077990512,0,0
9,1.1428571428571428,0.1525599331199395,0.1525599374012408,4.281301285713468e-09,0.3658308120991521,0,0
10,1.2142857142857142,0.15255993373298574,0.1525599374012408,3.6682550608180264e-09,0.31344692613994546,0,0
11,1.2857142857142856,0.15255993436716903,0.1525599374012408,3.034071771601532e-09,0.25925690954663333,0,0
12,1.3571428571428572,0.15255993500409265,0.1525599374012408,2.397148146648931e-09,0.20483273535009205,0,0
13,1.4285714285714284,0.15255993563056186,0.1525599374012408,1.7706789368077125e-09,0.15130187533888534,0,0
14,1.5,0.15255993623730196,0.1525599374012408,1.163938834203293e-09,0.09945683812798325,0,0
15,1.5714285714285714,0.1525599368180033,0.1525599374012408,5.832374860847978e-10,0.0498367736681051,0,0
16,1.6428571428571428,0.15255993736859894,0.1525599374012408,3.264186143603354e-11,0.0027891983956887393,0,0
17,1.7142857142857142,0.1525599378867137,0.1525599374012408,4.854729118708434e-10,0.041482936553542266,1,1
18,1.7857142857142856,0.15255993837124143,0.1525599374012408,9.700006353696722e-10,0.08288510816982711,1,1
19,1.857142857142857,0.1525599388220169,0.1525599374012408,1.4207761078743886e-09,0.12140320025810628,1,1
20,1.9285714285714284,0.15255993923956251,0.1525599374012408,1.8383217170736543e-09,0.15708185006757583,1,1
21,2.0,0.15255993962489145,0.1525599374012408,2.2236506524997424e-09,0.19000763313325794,1,1
22,2.071428571428571,0.1525599399793563,0.1525599374012408,2.5781154988635535e-09,0.22029612580220223,1,1
23,2.142857142857143,0.15255994030453152,0.1525599374012408,2.90329071894746e-09,0.24808186357187936,1,1
24,2.2142857142857144,0.15255994060212413,0.1525599374012408,3.200883336162974e-09,0.2735107090478924,1,1
25,2.2857142857142856,0.15255994087390543,0.1525599374012408,3.4726646280791584e-09,0.2967340152578139,1,1
26,2.3571428571428568,0.15255994112166052,0.1525599374012408,3.720419722297308e-09,0.3179043186938224,1,1
27,2.4285714285714284,0.15255994134715045,0.1525599374012408,3.945909654579083e-09,0.337172097236317,1,1
28,2.5,0.15255994155208583,0.1525599374012408,4.15084502880525e-09,0.3546835194366606,1,1
29,2.571428571428571,0.1525599417381072,0.1525599374012408,4.336866393783723e-09,0.3705787677446821,1,1
30,2.642857142857143,0.1525599419067733,0.1525599374012408,4.505532502641074e-09,0.38499103529118495,1,1
31,2.714285714285714,0.15255994205955306,0.1525599374012408,4.658312263705611e-09,0.39804583810290517,1,1
32,2.7857142857142856,0.1525599421978222,0.1525599374012408,4.796581409838296e-09,0.40986073050180516,1,1
33,2.857142857142857,0.15255994232286155,0.1525599374012408,4.92162074983149e-09,0.42054515568970197,1,1
34,2.9285714285714284,0.15255994243585902,0.1525599374012408,5.034618222321541e-09,0.43020062125203695,1,1
35,3.0,0.15255994253791144,0.1525599374012408,5.136670644390051e-09,0.4389208485732466,1,1
36,3.071428571428571,0.15255994263002814,0.1525599374012408,5.228787347544284e-09,0.4467920835258677,1,1
37,3.142857142857143,0.15255994271313567,0.1525599374012408,5.311894868409439e-09,0.4538934972831993,1,1
38,3.214285714285714,0.15255994278808246,0.1525599374012408,5.386841667176512e-09,0.4602975895036375,1,1
39,3.2857142857142856,0.15255994285564323,0.1525599374012408,5.4544024297165095e-09,0.46607055593992197,1,1
40,3.3571428571428568,0.15255994291652442,0.1525599374012408,5.515283618695577e-09,0.47127276277364694,1,1
41,3.4285714285714284,0.15255994297136938,0.1525599374012408,5.570128580600908e-09,0.4759591830030121,1,1
42,3.5,0.15255994302076256,0.1525599374012408,5.619521764588242e-09,0.4801797569370509,1,1
43,3.571428571428571,0.15255994306523474,0.1525599374012408,5.6639939405300765e-09,0.4839798380700718,1,1
44,3.642857142857143,0.15255994310526722,0.1525599374012408,5.704026417863162e-09,0.48740055357588624,1,1
45,3.714285714285714,0.15255994314129595,0.1525599374012408,5.740055153413692e-09,0.4904791553153477,1,1
46,3.7857142857142856,0.1525599431737154,0.1525599374012408,5.772474609422318e-09,0.49324934949883686,1,1
47,3.8571428571428568,0.15255994320288246,0.1525599374012408,5.801641667080304e-09,0.4957416310920922,1,1
48,3.9285714285714284,0.1525599432291196,0.1525599374012408,5.827878790665153e-09,0.4979835541868812,1,1
49,4.0,0.15255994325271796,0.1525599374012408,5.851477163920649e-09,0.5,1,1
