point_id,beta1
0,0.5
1,0.5714285714285714
2,0.6428571428571428
3,0.7142857142857143
4,0.7857142857142857
5,0.8571428571428571
6,0.9285714285714286
7,1.0
8,1.0714285714285714
9,1.1428571428571428
10,1.2142857142857142
11,1.2857142857142856
12,1.3571428571428572
13,1.4285714285714284
14,1.5
15,1.5714285714285714
16,1.6428571428571428
17,1.7142857142857142
18,1.7857142857142856
19,1.857142857142857
20,1.9285714285714284
21,2.0
22,2.071428571428571
23,2.142857142857143
24,2.2142857142857144
25,2.2857142857142856
26,2.3571428571428568
27,2.4285714285714284
28,2.5
29,2.571428571428571
30,2.642857142857143
31,2.714285714285714
32,2.7857142857142856
33,2.857142857142857
34,2.9285714285714284
35,3.0
36,3.071428571428571
37,3.142857142857143
38,3.214285714285714
39,3.2857142857142856
40,3.3571428571428568
41,3.4285714285714284
42,3.5
43,3.571428571428571
44,3.642857142857143
45,3.714285714285714
46,3.7857142857142856
47,3.8571428571428568
48,3.9285714285714284
49,4.0
